id;name;category_id
1;Ferme de animale;1
2;Constructii si amenajari ferme;1
3;Abatorizare;1
4;Carmangerii si macelarii;1
5;Servicii veterinare;1
6;Laboratoare de analize;1
7;Asociatii si federatii (Agricultura si alimente);1
8;Ferme vegetale;1
9;Servicii agricole;1
10;Inginer agronom;1
11;Morarit;1
12;Vinificatie;1
13;Cultivare si procesare fructe si legume;1
14;Prelucrare plante tehnice si medicinale;1
15;Agricultura ecologica;1
16;Utilaje agricole;1
17;Alte servicii de agricultura;1
18;Cultivare si procesare plante aromatice si medicinale;1
19;Produse si alimente;1
20;Montaj reclame;2
21;Reparatii/renovari;2
22;Siliconare/schimbare geamuri;2
23;Jgeaburi/burlane;2
24;Montaje antene si componente telecomunicatii;2
25;Escalada blocuri;2
26;Degajari zone cu risc;2
27;Inspectii foto-video;2
28;Iluminare ambientala;2
29;Toaletari arbori;2
30;Salvari animale;2
31;Alte servicii de alpinism utilitar;2
32;Asigurari auto;3
33;Asigurari casco;3
34;Asigurari ROTR;3
35;Asigurari locuinte si cladiri;3
36;Asigurari bunuri;3
37;Asigurari marfa (CMR);3
38;Asigurari de viata;3
39;Asigurari de vacante si calatorii;3
40;Asigurari de sanatate;3
41;Asigurari pentru sportivi;3
42;Asigurari tehnice;3
43;Asigurari pentru business;3
44;Alte asigurari;3
45;Firme si societati de consultanta juridica;4
46;Avocati;4
47;Notari;4
48;Executori Judecatoresti;4
49;Juristi;4
50;Mediatori;4
51;Alte servicii de asistenta si consultanta juridica;4
52;Automobile;5
53;Autoutilitare;5
54;Camioane si autocare;5
55;Motociclete si scutere;5
56;Campere si rulote;5
57;Remorci si platforme;5
58;Biciclete;5
59;Trotinete/vehicule electrice;5
60;Barci;5
61;Avioane usoare;5
62;Vehicule agricole si industriale;5
63;Alte vehicule;5
64;Amenajari interioare;6
65;Amenajari exterioare;6
66;Zidarie si structuri;6
67;Carotari;6
68;Cosuri de fum si seminee;6
69;Tamplarie, geamuri si usi;6
70;Instalatii electrice;6
71;Instalatii tehnico sanitare;6
72;Utilitati, racordari, bransamente si resurse;6
73;Instalatii de ventilatie si climatizare;6
74;Acoperisuri;6
75;Garduri, porti si usi de garaj;6
76;Amenajari spatii verzi si spatii exterioare;6
77;Mobila si decoratiuni;6
78;Interfoane si sisteme de acces;6
79;Lifturi, ascensoare si rampi;6
80;Ignifugari;6
81;Drumuri si poduri;6
82;Pentru santier;6
83;Materiale de constructii;6
84;Avize, certificate si autorizatii;6
85;Arhitectura si Design;6
86;Topografie si Cadastru;6
87;Proiectare;6
88;Constructor de la A la Z;6
89;Alte servicii de constructii;6
90;Demolari;6
91;Contabilitate primara;7
92;Contabilitate de gestiune;7
93;Contabilitate financiara;7
94;Evidenta contabila;7
95;Expertiza contabila;7
96;Contabilitate manageriala;7
97;Intocmire si certificare bilant;7
98;Salarizare;7
99;Audit;7
100;Personal de ocazie (Contabilitate si audit);7
101;Programe si softuri pentru contabilitate;7
102;Alte servicii de contabilitate si audit;7
103;Consultanta si expertiza fiscala;8
104;Controlling;8
105;Analize financiare;8
106;Consultanta financiara;8
107;Consultanta in afaceri;8
108;Cloud accounting;8
109;Consultanta in atragerea fondurilor guvernamentale;8
110;Consultanta in atragerea fondurilor europene;8
111;Personal de ocazie (Consultanta si finantari);8
112;Alte servicii de consultanta si finantari;8
113;Creditare;8
114;Leasing auto;8
115;Înfiintare firma;8
116;Curatenie la domiciliu;9
117;Curatenie dupa contructor;9
118;Curatenie spatii verzi;9
119;Intretinere spatii verzi;9
120;Curatenie industriala;9
121;Curatenie unitati sanitare;9
122;Curatenie in spatii office si centre business;9
123;Curatenie in centre comerciale;9
124;Aparatura si produse igienico-sanitare;9
125;Curatenie scari de bloc;9
126;Echipamente pentru curatenie;9
127;Colectare deseuri;9
128;Vidanjare;9
129;Spalatorii de haine si lenjerii;9
130;Spalatorii de covoare;9
131;Curatare si intretinere piscine;9
132;Alte servicii de curatenie si menaj;9
133;Curatare tapiterii;9
134;Constructii si amenajari ferme;10
135;Abatorizare;10
136;Carmangerii si macelarii;10
137;Servicii veterinare;10
138;Laboratoare de analize;10
139;Asociatii si federatii (Agricultura si alimente);10
140;Ferme vegetale;10
141;Servicii agricole;10
142;Inginer agronom;10
143;Morarit;10
144;;10
145;Cursuri aviatie si insotitori de bord;10
146;Cursuri foto-video;10
147;Cursuri beauty/infrumusetare;10
148;Cursuri masaj;10
149;Cursuri paza si protectie;10
150;Cursuri militare;10
151;Cursuri port-arma;10
152;Cursuri dezvoltare personala;10
153;Curs florar;10
154;Curs formator;10
155;Cursuri si meditatii limbi straine;10
156;Cursuri si meditatii materii scolare;10
157;Cursuri baby-sitter;10
158;Cursuri medicale;10
159;Cursuri reparatii auto;10
160;Cursuri croitorie si design vestimentar;10
161;Cursuri constructii;10
162;Cursuri gastronomie;10
163;Cursuri industria hoteliera;10
164;Curs ghid turistic;10
165;Cursuri IT si programare;10
166;Cursuri marketing si vanzari;10
167;Cursuri management;10
168;Cursuri contabilitate;10
169;Cursuri de dans;10
170;Scoli de soferi si atestate pentru transport;10
171;Protectia muncii;10
172;Cursturi stivuitorist;10
173;Cursuri modeling;10
174;Cursuri agricultura;10
175;Cursuri finantari si fonduri europene;10
176;Cursuri de muzica;10
177;Cursuri de actorie si teatru;10
178;Arte plastice;10
179;Alte cursuri;10
180;Scoli si facultati private;10
181;Cursuri conducator ambarcatiune;10
182;Deratizare;11
